name,value
insettici-e-acaricidi,Insettici e acaricidi
rodenticidi,Rodenticidi
disinfettanti-e-solventi,Disinfettanti e Solventi
repellenti,Repellenti
solventi-e-veicolanti,Solventi e Veicolanti
attrezzature,Attrezzature
monitoraggio-e-prevenzione-insetti,Monitoraggio e prevenzione insetti
allontanamento-volatili,Allontanamento volatili
accessori-roditori,Accessori roditori
endoinfusione,Endoinfusione
difesa-delle-piante,Difesa delle piante
insetti-e-acari-ausiliari,Insetti e acari ausiliari
tarli-e-termiti,Tarli e Termiti
trappole-luminose,Trappole luminose
natural,Natural
carvex,Carvex
