name,value
aerosol,Aerosol
acari-predatori,Acari predatori
accessorio,Accessorio
bastoncini,Bastoncini
blocchi-paraffinati,Blocchi paraffinati
compresse-attrattive,Compresse attrattive
concentrato-emulsionabile,Concentrato emulsionabile
dispenser-feromoni,Dispenser feromoni
dispositivo-per-applicazioni-di-gel,Dispositivo per applicazioni di gel
emulsione-concentrata,Emulsione concentrata
erogatore-automatico,Erogatore automatico
esca-in-crema,Esca in crema
esca-in-grano,Esca in grano
fumiganti,Fumiganti
gel,Gel
granuli,Granuli
granuli-attrattivi,Granuli attrattivi
granuli-idrosolubili,Granuli idrosolubili
granuli-pronti-all-uso,Granuli pronti all uso
impianto-di-nebulizzazione-automatizzato,Impianto di nebulizzazione automatizzato
insetti-utili,Insetti utili
lampada-uv,Lampada UV
liquido-concentrato,Liquido concentrato
liquido-concentrato-attrattivo,Liquido concentrato attrattivo
liquido-concentrato-microincapsulato,Liquido concentrato microincapsulato
liquido-pronto-all-uso,Liquido pronto all uso
microemulsione-acquosa,Microemulsione acquosa
microgranuli-bagnabili,Microgranuli bagnabili
pasta-fresca,Pasta fresca
polvere-pronta-all-uso,Polvere pronta all uso
polveri-granuli-e-microgranuli,Polveri granuli e microgranuli
rtu-pronto-all-uso,RTU - Pronto all uso
ricambi,Ricambi
sistema-dissuasore,Sistema dissuasore
sospensione-concentrata,Sospensione concentrata
spray-e-aerosol,Spray e aerosol
stazione-di-avvelenamento,Stazione di avvelenamento
tablet-e-compresse,Tablet e compresse
trappola-adesiva,Trappola adesiva
trappola-di-aggregazione,Trappola di aggregazione
trappola-meccanica,Trappola meccanica
